transaction_id,user_id,product_id,amount,payment_type,date,avg_monthly_spend,purchase_frequency,last_purchase_date,days_since_last_purchase,category_x,category_total_expenditure,name,age,gender,registration_date,product_name,category_y,price,stock
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Beauty,112.61,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Books,313.02,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Clothing,89.07000000000001,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Electronics,62.27,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Grocery,55.78,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000001,U0024,P015,67.67,Wallet,2023-02-12,75.43,11,2025-08-03,90,Home,46.12,Aarohi Kapoor,20,Female,2023-03-15,Product_015,Books,2286.25,251
T000002,U0196,P044,76.44,UPI,2023-03-24,88.99714285714286,7,2025-08-21,72,Beauty,94.92999999999999,Kabir Kulkarni,35,Other,2024-08-01,Product_044,Beauty,1655.45,268
T000002,U0196,P044,76.44,UPI,2023-03-24,88.99714285714286,7,2025-08-21,72,Books,196.74,Kabir Kulkarni,35,Other,2024-08-01,Product_044,Beauty,1655.45,268
T000002,U0196,P044,76.44,UPI,2023-03-24,88.99714285714286,7,2025-08-21,72,Grocery,226.74,Kabir Kulkarni,35,Other,2024-08-01,Product_044,Beauty,1655.45,268
T000002,U0196,P044,76.44,UPI,2023-03-24,88.99714285714286,7,2025-08-21,72,Home,104.57,Kabir Kulkarni,35,Other,2024-08-01,Product_044,Beauty,1655.45,268
T000003,U0196,P049,104.57,Debit Card,2025-08-21,88.99714285714286,7,2025-08-21,72,Beauty,94.92999999999999,Kabir Kulkarni,35,Other,2024-08-01,Product_049,Home,1701.17,159
T000003,U0196,P049,104.57,Debit Card,2025-08-21,88.99714285714286,7,2025-08-21,72,Books,196.74,Kabir Kulkarni,35,Other,2024-08-01,Product_049,Home,1701.17,159
T000003,U0196,P049,104.57,Debit Card,2025-08-21,88.99714285714286,7,2025-08-21,72,Grocery,226.74,Kabir Kulkarni,35,Other,2024-08-01,Product_049,Home,1701.17,159
T000003,U0196,P049,104.57,Debit Card,2025-08-21,88.99714285714286,7,2025-08-21,72,Home,104.57,Kabir Kulkarni,35,Other,2024-08-01,Product_049,Home,1701.17,159
T000004,U0133,P042,102.75,Net Banking,2024-07-23,90.22999999999999,5,2024-10-27,370,Beauty,215.07,Diya Singh,23,Female,2023-07-06,Product_042,Home,4406.39,59
T000004,U0133,P042,102.75,Net Banking,2024-07-23,90.22999999999999,5,2024-10-27,370,Electronics,77.16,Diya Singh,23,Female,2023-07-06,Product_042,Home,4406.39,59
T000004,U0133,P042,102.75,Net Banking,2024-07-23,90.22999999999999,5,2024-10-27,370,Home,158.92000000000002,Diya Singh,23,Female,2023-07-06,Product_042,Home,4406.39,59
T000005,U0047,P038,23.89,Net Banking,2025-10-04,40.7375,4,2025-10-04,28,Books,52.54,Anaya Gupta,28,Other,2022-10-13,Product_038,Home,393.65,58
T000005,U0047,P038,23.89,Net Banking,2025-10-04,40.7375,4,2025-10-04,28,Grocery,86.52000000000001,Anaya Gupta,28,Other,2022-10-13,Product_038,Home,393.65,58
T000005,U0047,P038,23.89,Net Banking,2025-10-04,40.7375,4,2025-10-04,28,Home,23.89,Anaya Gupta,28,Other,2022-10-13,Product_038,Home,393.65,58
